RE41M09_R,RE41M05_R,RE41M07_R,RE41M10_R,RE41M13_R,RE41M15_R,RE41M02_R,RE41M11_R,RE41M14_R
0,69,1,0,0,0,102,0,0
61,70,19,93,15,47,1,21,225
29,13,19,42,17,49,44,44,191
86,46,51,54,19,47,42,19,85
6,17,6,5,17,9,6,6,43
187,61,10,25,8,14,25,21,108
28,11,6,108,13,26,20,16,74
79,67,48,442,25,67,244,81,363
22,21,20,111,13,11,33,18,120
21,14,18,41,6,23,17,12,72
22,47,33,64,18,26,61,98,192
8,7,119,15,12,6,32,7,0
77,69,39,185,17,11,66,27,271
133,57,0,83,8,41,128,43,331
21,42,10,82,43,32,39,77,255
15,6,12,52,8,15,14,9,54
17,61,31,53,18,11,119,30,80
88,21,50,74,39,2,35,18,142
74,59,40,63,11,32,36,53,232
0,0,0,0,0,0,46,0,1
81,87,82,90,53,37,42,25,231
36,36,17,61,0,0,15,25,0
17,10,22,40,8,48,303,31,211
63,72,14,104,18,27,38,44,81
64,78,120,101,23,60,31,47,313
24,16,26,60,9,15,41,13,94
18,20,26,25,13,17,19,346,68
48,10,31,83,7,29,17,28,316
12,6,36,59,9,15,254,14,43
71,26,42,40,5,21,24,110,4
26,50,61,80,10,30,39,92,303
16,8,13,48,6,21,19,17,36
0,285,15,11,40,0,21,60,0
77,23,14,32,7,65,31,12,177
101,101,13,81,13,22,131,13,112
75,64,79,97,26,103,53,11,71
24,13,9,32,5,29,16,46,352
50,121,1,52,24,44,1,34,72
39,9,49,27,6,23,30,42,219
120,29,67,61,14,18,103,166,219
92,46,63,162,58,40,57,14,78
24,54,19,100,10,34,24,31,118
21,4,72,48,2,24,34,61,89
39,84,77,245,80,73,79,99,191
196,60,89,6,8,59,38,6,228
11,10,13,69,19,32,35,13,14
9,22,13,252,9,20,16,32,242
6,13,11,324,19,11,22,23,90
32,35,36,47,38,10,40,20,99
77,187,134,84,63,13,121,16,3
20,24,11,153,7,6,1,14,6
101,15,16,45,21,220,310,157,337
37,21,21,31,18,44,30,49,11
121,4,6,7,8,5,23,5,118
279,1,98,239,22,17,129,31,90
18,63,1,149,7,18,13,25,1
28,35,79,58,41,63,91,13,93
111,26,20,37,31,20,65,27,57
66,17,7,21,8,36,1,30,70
22,14,11,68,7,33,48,105,253
35,31,54,139,14,50,47,37,500
18,1,15,1,6,22,14,53,97
21,38,12,31,7,41,16,26,103
262,64,5,49,7,108,7,76,203
31,26,35,59,16,50,36,1,163
240,74,20,46,10,15,76,142,96
15,33,32,68,20,16,34,26,97
120,153,130,197,20,2,300,82,3
8,92,63,31,24,6,12,69,110
54,39,59,49,56,69,75,92,253
23,20,19,321,18,34,24,19,112
14,62,29,80,13,6,847,43,20
49,11,28,167,8,35,25,34,207
57,10,13,100,6,2,16,36,80
9,16,16,38,22,7,31,11,40
64,30,56,91,43,34,83,49,8
62,67,47,46,218,49,76,88,270
49,114,40,63,16,7,158,14,136
73,14,51,16,27,47,42,69,89
9,7,8,23,7,20,44,8,48
10,1,15,36,12,20,11,1,57
15,92,17,89,14,20,0,7,203
43,19,24,36,7,17,28,11,188
287,21,51,88,11,2,5,43,42
182,103,85,208,33,58,69,38,457
53,71,103,149,15,7,33,15,155
18,14,15,83,9,20,16,18,214
59,43,52,92,36,40,104,45,160
1,40,73,2,9,16,25,30,128
52,68,17,207,17,98,94,30,47
28,12,18,44,12,33,21,30,1
11,16,3,35,6,8,18,9,32
8,13,10,117,9,10,12,12,207
11,7,8,23,9,5,9,7,31
35,19,13,42,45,49,21,52,131
13,77,7,36,17,3,43,12,2
487,2,288,85,11,52,20,65,400
117,16,5,201,28,32,20,19,31
217,20,162,96,31,71,149,24,238
48,118,29,63,22,12,210,2,131
21,47,23,1,9,19,99,17,66
25,55,0,47,9,28,44,28,99
65,29,27,48,12,72,333,22,132
46,40,16,27,4,16,51,23,69
14,107,28,58,42,49,41,18,140
74,16,4,43,6,16,50,15,124
7,4,5,101,19,9,8,8,40
6,3,3,6,4,7,6,5,12
88,38,2,244,25,22,34,41,367
8,6,12,12,5,5,11,12,61
18,0,36,250,98,31,1,18,23
29,61,19,47,8,14,157,48,20
38,54,18,94,10,2,20,0,123
17,206,49,82,16,54,88,14,279
88,45,1,141,20,37,112,17,215
76,36,33,71,15,48,21,29,53
23,12,23,56,8,25,36,20,44
16,10,90,55,9,17,18,171,183
42,1,39,289,8,10,63,2,34
9,57,67,153,11,31,91,28,30
21,5,9,24,6,10,10,6,71
10,23,3,21,6,54,57,58,81
35,74,20,47,45,75,19,193,282
201,103,66,118,1,17,99,95,236
0,18,20,1,11,4,12,3,42
40,58,29,44,15,27,129,17,347
69,48,108,94,22,43,158,32,243
24,42,9,158,1,1,15,17,4
36,8,164,81,7,30,250,85,444
40,57,372,49,8,22,296,14,42
31,21,22,205,25,0,65,26,15
